Pos,Title,Director,Year,Country,Length,Genre,Colour
962,Touchez pas au Grisbi,"Becker, Jacques",1954,France,94,Thriller-Crime-Drama,BW
963,"Hart of London, The","Chambers, Jack",1970,Canada,80,Avant-Garde,Col-BW
964,Carnival of Souls,"Harvey, Herk",1962,USA,80,Horror,BW
965,Rope,"Hitchcock, Alfred",1948,USA,80,Thriller-Crime-Drama,Col
966,Floating Weeds,"Ozu, Yasujiro",1959,Japan,119,Drama,Col
967,Babe,"Noonan, Chris",1995,Australia,94,Fantasy-Comedy-Family,Col
968,3 Women,"Altman, Robert",1977,USA,125,Drama,Col
969,"Boucher, Le","Chabrol, Claude",1970,France-Italy,94,Thriller-Drama,Col
970,Anatahan,"von Sternberg, Josef",1953,Japan,92,War-Drama,BW
971,To Live,Zhang Yimou,1994,China-Hong Kong,145,Drama,Col
972,Pépé le Moko,"Duvivier, Julien",1937,France,94,Romance-Drama-Crime,BW
973,Cul-de-sac,"Polanski, Roman",1966,UK,111,Thriller-Drama,BW
974,Get Carter,"Hodges, Mike",1971,UK,112,Crime,Col
975,Ludwig,"Visconti, Luchino",1973,Italy-France-West Germany,235,Drama-Biography-History,Col
976,Black Orpheus,"Camus, Marcel",1959,Brazil-France,103,Drama-Romance,Col
977,"Go-Between, The","Losey, Joseph",1971,UK,116,Romance-Drama,Col
978,Before Sunrise,"Linklater, Richard",1995,USA,101,Romance-Drama,Col
979,Gentlemen Prefer Blondes,"Hawks, Howard",1953,USA,91,Romance-Musical-Comedy,Col
980,Reds,"Beatty, Warren",1981,USA,200,History-Drama-Biography,Col
981,"Humanité, L'","Dumont, Bruno",1999,France,141,Drama-Mystery,Col
982,"Adventures of Prince Achmed, The","Reiniger, Lotte",1926,Germany,65,Animated-Adventure-Fantasy,BW
983,"Spring, Summer, Autumn, Winter… and Spring",Kim Ki-duk,2003,South Korea-Germany,103,Drama,Col
984,"Thing from Another World, The","Nyby, Christian/Howard Hawks",1951,USA,87,Science Fiction-Horror,BW
985,Exotica,"Egoyan, Atom",1994,Canada,104,Drama,Col
986,On the Town,"Donen, Stanley/Gene Kelly",1949,USA,98,Musical-Dance,Col
987,Bad Timing,"Roeg, Nicolas",1980,UK,129,Drama,Col
988,Zabriskie Point,"Antonioni, Michelangelo",1970,USA,112,Drama,Col
989,National Lampoon's Animal House,"Landis, John",1978,USA,109,Comedy,Col
990,Second Breath,"Melville, Jean-Pierre",1966,France,144,Drama,BW
991,"Nutty Professor, The","Lewis, Jerry",1963,USA,107,Comedy,Col
992,Fantômas,"Feuillade, Louis",1913,France,334,Crime-Drama,BW
993,"Reckless Moment, The","Ophüls, Max",1949,USA,82,Drama-Crime,BW
994,Female Trouble,"Waters, John",1974,USA,95,Crime-Comedy,Col
995,Yol,"Gören, Serif & Yilmaz Güney",1982,Turkey-Switzerland-France,114,Drama,Col
996,Häxan,"Christensen, Benjamin",1922,Sweden,83,Documentary-Horror,BW
997,Humanity and Paper Balloons,"Yamanaka, Sadao",1937,Japan,86,Drama,BW
998,"Tale of the Wind, A","Ivens, Joris",1988,France-UK-West Germany-Netherlands,80,Documentary,Col
999,"Straight Story, The","Lynch, David",1999,USA-France-UK,111,Drama,Col
1000,Subarnarekha,"Ghatak, Ritwik",1965,India,143,Drama,BW
