Pos,Title,Director,Year,Country,Length,Genre,Colour
174,"Birds, The","Hitchcock, Alfred",1963,USA,120,Horror,Col
175,Brazil,"Gilliam, Terry",1985,UK,131,Science Fiction-Fantasy,Col
176,Napoléon,"Gance, Abel",1927,France,235,War-History-Biography,BW
177,"Last Laugh, The","Murnau, F.W.",1924,Germany,77,Drama,BW
178,Mouchette,"Bresson, Robert",1967,France,80,Drama,BW
179,"Texas Chainsaw Massacre, The","Hooper, Tobe",1974,USA,83,Thriller-Horror,Col
180,"Thin Red Line, The","Malick, Terrence",1998,USA,170,War-Drama-Action,Col
181,"Great Dictator, The","Chaplin, Charles",1940,USA,128,War-Comedy-Political,BW
182,Imitation of Life,"Sirk, Douglas",1959,USA,124,Drama-Romance,Col
183,Kes,"Loach, Ken",1969,UK,113,Drama,Col
184,"Grapes of Wrath, The","Ford, John",1940,USA,129,Drama,BW
185,Dekalog,"Kieslowski, Krzysztof",1988,Poland-West Germany,550,Drama,Col
186,Breaking the Waves,"von Trier, Lars",1996,Denmark-Sweden-France-Netherlands-Norway-Iceland-Spain,156,Romance-Drama,Col
187,Night and Fog,"Resnais, Alain",1955,France,32,War-Documentary-Short,Col-BW
188,Out of the Past,"Tourneur, Jacques",1947,USA,97,Thriller-Mystery-Crime,BW
189,Death in Venice,"Visconti, Luchino",1971,Italy,130,Drama,Col
190,Solaris,"Tarkovsky, Andrei",1972,USSR,165,Science Fiction-Drama-Mystery,Col-BW
191,Umberto D.,"De Sica, Vittorio",1952,Italy,89,Drama,BW
192,"City of Sadness, A",Hou Hsiao-hsien,1989,Taiwan-Hong Kong,157,Political-Drama,Col
193,Raiders of the Lost Ark,"Spielberg, Steven",1981,USA,115,Adventure-Action,Col
194,Chungking Express,Wong Kar-wai,1994,Hong Kong,104,Romance-Drama,Col
195,Nights of Cabiria,"Fellini, Federico",1957,Italy-France,110,Drama,BW
196,Fargo,"Coen, Joel & Ethan Coen",1996,USA,98,Drama-Crime-Comedy,Col
197,Eternal Sunshine of the Spotless Mind,"Gondry, Michel",2004,USA,108,Romance-Drama-Comedy,Col
198,Close Encounters of the Third Kind,"Spielberg, Steven",1977,USA,135,Science Fiction-Adventure,Col
199,Paisan,"Rossellini, Roberto",1946,Italy,120,War-Drama,BW
200,"Life and Death of Colonel Blimp, The","Powell, Michael/Emeric Pressburger",1943,UK,163,War-Drama-Comedy,Col
201,Belle de jour,"Buñuel, Luis",1967,France-Italy,100,Drama,Col
202,"Samouraï, Le","Melville, Jean-Pierre",1967,France,95,Thriller-Crime,Col
203,Vampyr,"Dreyer, Carl Theodor",1932,Germany-France,73,Horror,BW
204,"Travelling Players, The","Angelopoulos, Theo",1975,Greece,230,Political-Drama,Col
205,"Salò, or the 120 Days of Sodom","Pasolini, Pier Paolo",1975,Italy,117,Horror-Drama-Political,Col
206,McCabe & Mrs. Miller,"Altman, Robert",1971,USA,121,Western-Drama,Col
207,"Black God, White Devil","Rocha, Glauber",1964,Brazil,110,Political-Drama-Crime,BW
208,"Exorcist, The","Friedkin, William",1973,USA,122,Horror,Col
